,date,times,end,vols
1458,20201223,1435,73400,418886
1459,20201223,1440,73400,414280
1460,20201223,1445,73500,665665
1461,20201223,1450,73400,165648
1462,20201223,1455,73600,207105
1463,20201223,1500,73600,128140
1464,20201223,1505,73700,409385
1465,20201223,1510,74000,569731
1466,20201223,1515,73900,363063
1467,20201223,1520,74000,213572
1468,20201223,1530,73900,1100956
1469,20201224,905,74700,1666266
1470,20201224,910,75500,1725322
1471,20201224,915,75800,1641234
1472,20201224,920,75500,834097
1473,20201224,925,75500,648049
1474,20201224,930,75600,321810
1475,20201224,935,75700,392557
1476,20201224,940,75900,662617
1477,20201224,945,75900,506562
1478,20201224,950,76000,339886
1479,20201224,955,75700,345618
1480,20201224,1000,75800,173766
1481,20201224,1005,75500,330512
1482,20201224,1010,75800,263268
1483,20201224,1015,75800,152773
1484,20201224,1020,75600,123165
1485,20201224,1025,75500,195033
1486,20201224,1030,75600,246648
1487,20201224,1035,75600,85634
1488,20201224,1040,75700,211131
1489,20201224,1045,75700,64470
1490,20201224,1050,75800,232967
1491,20201224,1055,75700,230541
1492,20201224,1100,75700,55590
1493,20201224,1105,75600,173046
1494,20201224,1110,75600,43581
1495,20201224,1115,75700,46818
1496,20201224,1120,75700,61452
1497,20201224,1125,75800,290101
1498,20201224,1130,75800,86921
1499,20201224,1135,75800,73628
1500,20201224,1140,75700,51610
1501,20201224,1145,75700,123567
1502,20201224,1150,75800,57701
1503,20201224,1155,75800,71770
1504,20201224,1200,75800,322499
1505,20201224,1205,75700,156859
1506,20201224,1210,75700,66159
1507,20201224,1215,75700,53845
1508,20201224,1220,75700,176074
1509,20201224,1225,75800,54689
1510,20201224,1230,75800,58383
1511,20201224,1235,75800,367050
1512,20201224,1240,75900,84564
1513,20201224,1245,75900,129992
1514,20201224,1250,76000,271014
1515,20201224,1255,76100,972135
1516,20201224,1300,76200,401684
1517,20201224,1305,76300,473779
1518,20201224,1310,76400,311007
1519,20201224,1315,76400,315885
1520,20201224,1320,76400,93382
1521,20201224,1325,76300,346036
1522,20201224,1330,76500,275370
1523,20201224,1335,76400,244778
1524,20201224,1340,76700,794387
1525,20201224,1345,76800,564920
1526,20201224,1350,76700,355624
1527,20201224,1355,76800,337045
1528,20201224,1400,77000,280407
1529,20201224,1405,77200,782014
1530,20201224,1410,77200,1298211
1531,20201224,1415,77600,553460
1532,20201224,1420,77600,448247
1533,20201224,1425,78600,1357341
1534,20201224,1430,78100,920282
1535,20201224,1435,78400,905933
1536,20201224,1440,78300,588570
1537,20201224,1445,77700,642454
1538,20201224,1450,77800,350908
1539,20201224,1455,77500,754764
1540,20201224,1500,77500,582762
1541,20201224,1505,77500,412243
1542,20201224,1510,77300,370446
1543,20201224,1515,77700,582152
1544,20201224,1520,77600,460587
1545,20201224,1530,77800,1269883
1546,20201228,905,79700,3686062
1547,20201228,910,79700,1924035
1548,20201228,915,79400,1916971
1549,20201228,920,79200,785192
1550,20201228,925,79700,910161
1551,20201228,930,79700,676923
1552,20201228,935,79700,960548
1553,20201228,940,79700,720675
1554,20201228,945,79500,397342
1555,20201228,950,79500,500126
1556,20201228,955,79300,517224
1557,20201228,1000,79400,568685
1558,20201228,1005,79300,458907
1559,20201228,1010,79000,634927
1560,20201228,1015,79000,961625
1561,20201228,1020,78800,283879
1562,20201228,1025,78900,607429
1563,20201228,1030,79200,545590
1564,20201228,1035,79200,251933
1565,20201228,1040,79300,379638
1566,20201228,1045,79200,349012
1567,20201228,1050,79200,308104
1568,20201228,1055,79200,184471
1569,20201228,1100,79200,350889
1570,20201228,1105,79200,220210
1571,20201228,1110,79200,165207
1572,20201228,1115,79300,284072
1573,20201228,1120,79300,360361
1574,20201228,1125,79300,198637
1575,20201228,1130,79400,360062
1576,20201228,1135,79500,185192
1577,20201228,1140,79400,257919
1578,20201228,1145,79400,174973
1579,20201228,1150,79400,136465
1580,20201228,1155,79400,307758
1581,20201228,1200,79300,188903
1582,20201228,1205,79300,181772
1583,20201228,1210,79200,202896
1584,20201228,1215,79200,228011
1585,20201228,1220,79200,176333
1586,20201228,1225,79300,178689
1587,20201228,1230,79400,351444
1588,20201228,1235,79400,125127
1589,20201228,1240,79400,293746
1590,20201228,1245,79500,116167
1591,20201228,1250,79500,592755
1592,20201228,1255,79400,320904
1593,20201228,1300,79300,109637
1594,20201228,1305,79200,336880
1595,20201228,1310,79200,264358
1596,20201228,1315,79100,208776
1597,20201228,1320,79100,85322
1598,20201228,1325,79000,693120
1599,20201228,1330,78900,450632
1600,20201228,1335,78900,421569
1601,20201228,1340,78900,327395
1602,20201228,1345,78900,227767
1603,20201228,1350,79100,340088
1604,20201228,1355,79100,382281
1605,20201228,1400,79000,241092
1606,20201228,1405,79100,335970
1607,20201228,1410,79100,200206
1608,20201228,1415,79200,254707
1609,20201228,1420,79200,329025
1610,20201228,1425,79100,441500
1611,20201228,1430,79100,253864
1612,20201228,1435,79000,188272
1613,20201228,1440,79100,409763
1614,20201228,1445,78800,802793
1615,20201228,1450,78600,577954
1616,20201228,1455,78700,684698
1617,20201228,1500,78700,398394
1618,20201228,1505,78800,534043
1619,20201228,1510,78600,712311
1620,20201228,1515,78600,569441
1621,20201228,1520,78600,1300024
1622,20201228,1530,78700,2012806
1623,20201229,905,77800,4520293
1624,20201229,910,77900,1385291
1625,20201229,915,78500,1197994
1626,20201229,920,78800,972465
1627,20201229,925,78700,853680
1628,20201229,930,78700,730760
1629,20201229,935,78500,566183
1630,20201229,940,78500,352467
1631,20201229,945,78200,490188
1632,20201229,950,78100,229746
1633,20201229,955,78300,360414
1634,20201229,1000,78400,386986
1635,20201229,1005,78500,358142
1636,20201229,1010,78300,280349
1637,20201229,1015,78200,480266
1638,20201229,1020,78100,345782
1639,20201229,1025,77900,807038
1640,20201229,1030,77800,369966
1641,20201229,1035,77900,288407
1642,20201229,1040,77700,399163
1643,20201229,1045,77900,363870
1644,20201229,1050,78100,457513
1645,20201229,1055,78000,187679
1646,20201229,1100,77800,348933
1647,20201229,1105,77800,153238
1648,20201229,1110,77800,159997
1649,20201229,1115,77800,111614
1650,20201229,1120,77900,325565
1651,20201229,1125,77900,319984
1652,20201229,1130,77800,254824
1653,20201229,1135,77800,185075
1654,20201229,1140,77800,340421
1655,20201229,1145,77900,57818
1656,20201229,1150,78000,151194
1657,20201229,1155,78000,196179
1658,20201229,1200,77800,148742
1659,20201229,1205,77900,87214
1660,20201229,1210,77800,286636
1661,20201229,1215,77800,80192
1662,20201229,1220,77800,138226
1663,20201229,1225,77700,434688
1664,20201229,1230,77600,639119
1665,20201229,1235,77600,315499
1666,20201229,1240,77500,905098
1667,20201229,1245,77600,436341
1668,20201229,1250,77600,146449
1669,20201229,1255,77700,137752
1670,20201229,1300,77600,248945
1671,20201229,1305,77800,130643
1672,20201229,1310,77900,183842
1673,20201229,1315,77900,268691
1674,20201229,1320,78000,133539
1675,20201229,1325,78000,157917
1676,20201229,1330,78000,270700
1677,20201229,1335,78100,294962
1678,20201229,1340,78100,327720
1679,20201229,1345,78100,179088
1680,20201229,1350,77900,317165
1681,20201229,1355,77800,243493
1682,20201229,1400,77700,237499
1683,20201229,1405,77700,177253
1684,20201229,1410,77700,349487
1685,20201229,1415,77800,245085
1686,20201229,1420,77800,210036
1687,20201229,1425,77800,172226
1688,20201229,1430,77800,77880
1689,20201229,1435,78000,374928
1690,20201229,1440,77900,135258
1691,20201229,1445,77900,210349
1692,20201229,1450,77900,171457
1693,20201229,1455,78000,123564
1694,20201229,1500,78100,212198
1695,20201229,1505,78200,262338
1696,20201229,1510,78200,263747
1697,20201229,1515,78100,168452
1698,20201229,1520,78200,375808
1699,20201229,1530,78300,906933
1700,20201230,905,77700,1340236
1701,20201230,910,77900,482710
1702,20201230,915,78000,433315
1703,20201230,920,78000,248778
1704,20201230,925,78000,242599
1705,20201230,930,78100,163250
1706,20201230,935,78200,298520
1707,20201230,940,78200,437394
1708,20201230,945,78300,147068
1709,20201230,950,78200,222976
1710,20201230,955,78200,265766
1711,20201230,1000,78200,198394
1712,20201230,1005,78100,207658
1713,20201230,1010,78000,72086
1714,20201230,1015,78100,147287
1715,20201230,1020,78000,271487
1716,20201230,1025,77900,222823
1717,20201230,1030,78000,191846
1718,20201230,1035,78100,158163
1719,20201230,1040,78000,156762
1720,20201230,1045,77900,308643
