,date,times,start,high:,low,end,vols
0,20190611,905,44800,44850,44550,44850,469009
1,20190611,910,44800,44850,44600,44700,150902
2,20190611,915,44650,44750,44650,44750,94427
3,20190611,920,44750,44850,44700,44850,70823
4,20190611,925,44800,44850,44750,44750,84582
5,20190611,930,44800,44800,44700,44750,63057
6,20190611,935,44750,44750,44650,44750,106235
7,20190611,940,44750,44800,44700,44800,79010
8,20190611,945,44800,44800,44750,44750,33778
9,20190611,950,44750,44800,44750,44800,47906
10,20190611,955,44750,44800,44750,44750,35391
11,20190611,1000,44750,44800,44700,44700,89100
12,20190611,1005,44700,44750,44650,44750,93767
13,20190611,1010,44750,44750,44700,44700,22932
14,20190611,1015,44700,44900,44700,44850,157997
15,20190611,1020,44900,44900,44800,44850,77727
16,20190611,1025,44850,44850,44750,44800,56245
17,20190611,1030,44750,44800,44750,44800,26581
18,20190611,1035,44800,44800,44750,44800,25006
19,20190611,1040,44800,44900,44750,44850,186749
20,20190611,1045,44900,44900,44800,44850,91268
21,20190611,1050,44800,44850,44750,44750,108340
22,20190611,1055,44800,44850,44750,44800,100624
23,20190611,1100,44800,44850,44800,44800,18157
24,20190611,1105,44850,44850,44800,44800,19978
25,20190611,1110,44800,44850,44800,44800,18317
26,20190611,1115,44850,44850,44750,44800,119238
27,20190611,1120,44750,44800,44750,44750,22656
28,20190611,1125,44750,44800,44750,44750,58275
29,20190611,1130,44750,44800,44750,44800,17165
30,20190611,1135,44800,44800,44750,44800,85525
31,20190611,1140,44800,44850,44750,44800,31618
32,20190611,1145,44800,44850,44800,44800,15611
33,20190611,1150,44800,44850,44800,44800,36287
34,20190611,1155,44800,44850,44800,44850,25102
35,20190611,1200,44850,44850,44800,44850,17278
36,20190611,1205,44850,44850,44800,44850,23044
37,20190611,1210,44850,44850,44750,44750,163535
38,20190611,1215,44750,44800,44750,44800,46464
39,20190611,1220,44750,44800,44750,44800,19524
40,20190611,1225,44800,44800,44750,44750,19352
41,20190611,1230,44750,44800,44700,44750,104191
42,20190611,1235,44750,44850,44700,44850,141913
43,20190611,1240,44800,44850,44800,44800,26144
44,20190611,1245,44850,44850,44800,44800,16054
45,20190611,1250,44800,44850,44800,44800,16039
46,20190611,1255,44800,44850,44800,44800,22225
47,20190611,1300,44800,44850,44750,44800,146452
48,20190611,1305,44750,44800,44750,44800,23794
49,20190611,1310,44750,44800,44750,44800,23297
50,20190611,1315,44800,44800,44750,44800,45696
51,20190611,1320,44750,44800,44750,44800,40003
52,20190611,1325,44750,44800,44750,44750,48414
53,20190611,1330,44800,44800,44750,44800,31377
54,20190611,1335,44800,44800,44750,44800,40135
55,20190611,1340,44800,44850,44750,44850,110072
56,20190611,1345,44850,44850,44800,44800,40987
57,20190611,1350,44800,44900,44800,44900,104820
58,20190611,1355,44850,44900,44850,44900,165488
59,20190611,1400,44900,44900,44850,44900,29245
60,20190611,1405,44900,44900,44850,44900,42276
61,20190611,1410,44900,44900,44850,44900,55036
62,20190611,1415,44900,44900,44850,44850,40196
63,20190611,1420,44850,44900,44850,44900,49580
64,20190611,1425,44850,44950,44850,44900,132534
65,20190611,1430,44900,44950,44900,44900,83996
66,20190611,1435,44900,44950,44900,44950,91301
67,20190611,1440,44950,44950,44900,44950,78119
68,20190611,1445,44950,45000,44900,44950,232867
69,20190611,1450,44950,44950,44900,44900,62072
70,20190611,1455,44900,45000,44900,44950,148597
71,20190611,1500,45000,45000,44950,44950,78871
72,20190611,1505,44950,45000,44950,44950,60458
73,20190611,1510,45000,45000,44950,44950,83467
74,20190611,1515,45000,45000,44950,44950,107276
75,20190611,1520,44950,45000,44950,45000,192790
76,20190611,1530,44850,44850,44850,44850,889326
77,20190612,905,44800,44900,44700,44850,690501
78,20190612,910,44900,45000,44800,45000,174479
79,20190612,915,44950,45050,44850,44850,277655
80,20190612,920,44850,44900,44850,44850,47234
81,20190612,925,44850,44900,44750,44800,150138
82,20190612,930,44800,44900,44750,44850,301182
83,20190612,935,44850,44850,44750,44800,159653
84,20190612,940,44850,44850,44750,44800,86993
85,20190612,945,44850,44900,44800,44850,51560
86,20190612,950,44850,44900,44850,44850,65462
87,20190612,955,44850,44900,44800,44850,73336
88,20190612,1000,44800,44900,44800,44900,43047
89,20190612,1005,44850,44900,44800,44900,133326
90,20190612,1010,44900,44950,44800,44850,248625
91,20190612,1015,44850,44900,44800,44800,39586
92,20190612,1020,44850,44850,44750,44750,104814
93,20190612,1025,44750,44850,44750,44800,50534
94,20190612,1030,44800,44850,44750,44850,64245
95,20190612,1035,44850,44850,44750,44850,65273
96,20190612,1040,44800,44850,44700,44750,150981
97,20190612,1045,44750,44800,44700,44750,124998
98,20190612,1050,44800,44800,44700,44700,82343
99,20190612,1055,44750,44750,44650,44700,169291
100,20190612,1100,44750,44750,44700,44700,61418
101,20190612,1105,44750,44750,44700,44700,44642
102,20190612,1110,44700,44750,44700,44700,44746
103,20190612,1115,44700,44750,44650,44650,80431
104,20190612,1120,44650,44700,44600,44650,125345
105,20190612,1125,44700,44700,44550,44550,120571
106,20190612,1130,44600,44650,44500,44600,90135
107,20190612,1135,44600,44600,44500,44550,73484
108,20190612,1140,44550,44650,44550,44550,75049
109,20190612,1145,44550,44600,44500,44500,50752
110,20190612,1150,44500,44550,44400,44400,173454
111,20190612,1155,44450,44450,44400,44450,39268
112,20190612,1200,44450,44500,44400,44500,67606
113,20190612,1205,44500,44500,44450,44450,26311
114,20190612,1210,44450,44550,44450,44500,75729
115,20190612,1215,44550,44550,44500,44500,30220
116,20190612,1220,44550,44550,44500,44500,34184
117,20190612,1225,44550,44550,44500,44500,32744
118,20190612,1230,44550,44550,44500,44500,17343
119,20190612,1235,44500,44600,44500,44600,99914
120,20190612,1240,44600,44600,44550,44550,17593
121,20190612,1245,44550,44600,44550,44550,17442
122,20190612,1250,44550,44600,44550,44600,71313
123,20190612,1255,44550,44600,44500,44500,40779
124,20190612,1300,44550,44550,44500,44500,25026
125,20190612,1305,44500,44550,44500,44500,30767
126,20190612,1310,44500,44550,44450,44450,48026
127,20190612,1315,44450,44500,44400,44400,77589
128,20190612,1320,44400,44450,44400,44450,41963
129,20190612,1325,44400,44450,44300,44300,122964
130,20190612,1330,44300,44400,44300,44400,75474
131,20190612,1335,44350,44400,44350,44400,38713
132,20190612,1340,44350,44500,44350,44450,102200
133,20190612,1345,44450,44550,44450,44450,78391
134,20190612,1350,44450,44500,44450,44500,35190
135,20190612,1355,44450,44500,44450,44500,44212
136,20190612,1400,44450,44500,44450,44500,30385
137,20190612,1405,44500,44550,44450,44550,104997
138,20190612,1410,44500,44600,44500,44600,62267
139,20190612,1415,44550,44650,44550,44550,169397
140,20190612,1420,44600,44600,44500,44500,53625
141,20190612,1425,44500,44550,44500,44500,50650
142,20190612,1430,44550,44550,44500,44550,56472
143,20190612,1435,44500,44550,44500,44500,83766
144,20190612,1440,44500,44550,44500,44550,54421
145,20190612,1445,44500,44550,44500,44500,80691
146,20190612,1450,44500,44550,44500,44500,72514
147,20190612,1455,44500,44550,44450,44500,123711
148,20190612,1500,44500,44500,44400,44450,116882
149,20190612,1505,44450,44500,44400,44450,148031
150,20190612,1510,44450,44500,44400,44450,88858
151,20190612,1515,44450,44500,44450,44500,99272
152,20190612,1520,44450,44500,44400,44500,78022
153,20190612,1530,44600,44600,44600,44600,1493148
154,20190613,905,44200,44400,44150,44250,451693
155,20190613,910,44250,44250,43800,43850,523354
156,20190613,915,43900,43900,43800,43850,309399
157,20190613,920,43850,44050,43850,43950,194469
158,20190613,925,43950,44000,43900,43950,179207
159,20190613,930,43950,44100,43950,44100,176006
160,20190613,935,44100,44100,43950,43950,104757
161,20190613,940,43950,44000,43950,44000,28054
162,20190613,945,44000,44050,43950,43950,192245
163,20190613,950,43950,44000,43900,43950,141022
164,20190613,955,43950,43950,43900,43900,51200
165,20190613,1000,43950,43950,43900,43900,51356
166,20190613,1005,43950,43950,43850,43900,131633
167,20190613,1010,43850,43900,43800,43800,141492
168,20190613,1015,43800,43850,43650,43700,282610
169,20190613,1020,43700,43750,43650,43700,234156
170,20190613,1025,43700,43750,43650,43650,97093
171,20190613,1030,43650,43700,43600,43650,269476
172,20190613,1035,43650,43700,43600,43600,95764
173,20190613,1040,43650,43700,43600,43650,91638
174,20190613,1045,43600,43650,43600,43650,94084
175,20190613,1050,43650,43650,43500,43500,524487
176,20190613,1055,43450,43650,43450,43500,163625
177,20190613,1100,43550,43650,43500,43500,139056
178,20190613,1105,43500,43550,43500,43500,40767
179,20190613,1110,43500,43550,43400,43450,198367
180,20190613,1115,43450,43450,43400,43400,40775
181,20190613,1120,43450,43550,43400,43500,195085
182,20190613,1125,43500,43600,43500,43600,114843
183,20190613,1130,43600,43750,43600,43700,146599
184,20190613,1135,43650,43700,43600,43600,51955
185,20190613,1140,43650,43650,43600,43650,25113
186,20190613,1145,43650,43650,43500,43500,147302
187,20190613,1150,43550,43550,43450,43550,186407
188,20190613,1155,43550,43650,43500,43600,84257
189,20190613,1200,43650,43700,43600,43700,56496
190,20190613,1205,43700,43700,43650,43650,40800
191,20190613,1210,43700,43700,43650,43650,52116
192,20190613,1215,43650,43800,43650,43800,122405
193,20190613,1220,43800,43800,43650,43750,127498
194,20190613,1225,43800,43900,43800,43850,128479
195,20190613,1230,43850,43950,43800,43900,148089
196,20190613,1235,43950,43950,43800,43900,128499
197,20190613,1240,43850,43900,43850,43850,82534
198,20190613,1245,43850,43900,43800,43800,65881
199,20190613,1250,43800,43850,43750,43750,122009
200,20190613,1255,43750,43850,43750,43850,75823
201,20190613,1300,43850,43850,43800,43850,45663
202,20190613,1305,43800,43950,43800,43850,78309
203,20190613,1310,43850,43850,43800,43850,55854
204,20190613,1315,43800,43900,43800,43850,68624
205,20190613,1320,43900,43900,43750,43750,98834
206,20190613,1325,43750,43800,43700,43750,57816
207,20190613,1330,43700,43750,43650,43700,100025
208,20190613,1335,43650,43700,43650,43700,30840
209,20190613,1340,43650,43700,43650,43650,52262
210,20190613,1345,43650,43700,43650,43650,55385
211,20190613,1350,43650,43700,43600,43700,160118
212,20190613,1355,43650,43700,43650,43700,42006
213,20190613,1400,43650,43700,43650,43650,71072
214,20190613,1405,43700,43750,43650,43750,73909
215,20190613,1410,43750,43800,43700,43750,71280
216,20190613,1415,43750,43800,43750,43750,69026
217,20190613,1420,43750,43800,43700,43700,86257
218,20190613,1425,43700,43750,43650,43700,165693
219,20190613,1430,43750,43900,43700,43850,134372
220,20190613,1435,43850,43900,43850,43850,53461
221,20190613,1440,43900,43900,43850,43900,135229
222,20190613,1445,43850,44100,43850,44050,394145
223,20190613,1450,44050,44200,44050,44150,170960
224,20190613,1455,44150,44200,44000,44000,180236
225,20190613,1500,44000,44100,43950,44050,243644
226,20190613,1505,44000,44050,44000,44000,59956
227,20190613,1510,44000,44100,44000,44050,180703
228,20190613,1515,44050,44150,44050,44100,210718
229,20190613,1520,44100,44300,44050,44150,461939
230,20190613,1530,43750,43750,43750,43750,6231026
231,20190614,905,43750,43750,43300,43350,815040
232,20190614,910,43350,43700,43350,43650,235645
233,20190614,915,43650,43850,43600,43650,369550
234,20190614,920,43650,43650,43550,43650,92869
235,20190614,925,43600,43750,43600,43750,105238
236,20190614,930,43750,43850,43700,43800,210141
237,20190614,935,43800,44050,43800,43950,118636
238,20190614,940,43900,43950,43750,43850,71427
239,20190614,945,43800,43850,43650,43700,69924
240,20190614,950,43700,43850,43650,43800,126708
241,20190614,955,43850,43900,43800,43850,59696
242,20190614,1000,43850,43900,43800,43850,57644
243,20190614,1005,43850,43900,43750,43850,92500
244,20190614,1010,43850,43900,43800,43800,24634
245,20190614,1015,43850,43900,43800,43850,51677
246,20190614,1020,43850,43900,43800,43850,17212
247,20190614,1025,43850,43850,43800,43800,59331
248,20190614,1030,43800,43900,43750,43900,186367
249,20190614,1035,43850,44000,43850,44000,95872
250,20190614,1040,44000,44050,43950,44000,84057
251,20190614,1045,44000,44100,43950,44000,143651
252,20190614,1050,44000,44150,44000,44100,97192
253,20190614,1055,44150,44150,43950,44000,144127
254,20190614,1100,44050,44050,44000,44050,86280
255,20190614,1105,44000,44050,43950,43950,45806
256,20190614,1110,44000,44000,43900,43950,61188
257,20190614,1115,43900,43950,43900,43900,24642
258,20190614,1120,43950,44000,43900,44000,70321
259,20190614,1125,43950,44000,43900,43950,42584
260,20190614,1130,43950,44000,43900,44000,49899
261,20190614,1135,44000,44050,43950,44050,40005
262,20190614,1140,44050,44050,44000,44000,18177
263,20190614,1145,44000,44050,44000,44000,30948
264,20190614,1150,44050,44050,43950,43950,124773
265,20190614,1155,43950,44050,43950,44000,91360
266,20190614,1200,44000,44050,44000,44000,8710
267,20190614,1205,44000,44050,43950,43950,73216
268,20190614,1210,44000,44000,43950,43950,9326
269,20190614,1215,43950,44000,43950,44000,13037
270,20190614,1220,43950,44050,43900,44050,159556
271,20190614,1225,44000,44100,44000,44000,53986
272,20190614,1230,44000,44050,44000,44000,16467
273,20190614,1235,44000,44050,44000,44000,18095
274,20190614,1240,44000,44050,43950,44000,82602
275,20190614,1245,44000,44050,44000,44000,20672
276,20190614,1250,44000,44050,44000,44000,18989
277,20190614,1255,44050,44050,44000,44050,32592
278,20190614,1300,44050,44050,43950,43950,119013
279,20190614,1305,43950,44000,43950,43950,24486
280,20190614,1310,44000,44100,43950,44100,178309
281,20190614,1315,44100,44100,44000,44050,19670
282,20190614,1320,44000,44050,43950,44000,59923
283,20190614,1325,44000,44000,43950,44000,23368
284,20190614,1330,44000,44000,43950,44000,22193
285,20190614,1335,43950,44000,43900,43900,79876
286,20190614,1340,43950,43950,43900,43900,29467
287,20190614,1345,43950,43950,43900,43950,25199
288,20190614,1350,43950,43950,43900,43950,55849
289,20190614,1355,43950,44000,43900,43950,117932
290,20190614,1400,44000,44000,43850,43900,97109
291,20190614,1405,43900,43900,43800,43900,108904
292,20190614,1410,43900,43900,43850,43900,57692
293,20190614,1415,43900,43900,43800,43800,73890
294,20190614,1420,43800,43850,43800,43800,56761
295,20190614,1425,43850,43850,43750,43750,96033
296,20190614,1430,43800,43850,43750,43850,86169
297,20190614,1435,43800,43900,43800,43900,84257
298,20190614,1440,43900,43900,43850,43850,26022
299,20190614,1445,43850,43900,43850,43900,63867
300,20190614,1450,43850,43900,43750,43800,185169
301,20190614,1455,43750,43850,43750,43850,128616
302,20190614,1500,43800,43850,43800,43800,63733
303,20190614,1505,43850,43900,43800,43900,139719
304,20190614,1510,43900,43900,43850,43850,103674
305,20190614,1515,43850,43950,43850,43950,134746
306,20190614,1520,43900,43950,43800,43800,129297
307,20190614,1530,44000,44000,44000,44000,1393882
308,20190617,905,43750,43800,43600,43700,463658
309,20190617,910,43750,43750,43600,43650,207423
310,20190617,915,43650,43700,43650,43650,41378
311,20190617,920,43700,43700,43500,43550,144550
312,20190617,925,43550,43550,43400,43500,159549
313,20190617,930,43500,43650,43450,43650,130577
314,20190617,935,43650,43800,43600,43800,156608
315,20190617,940,43750,44000,43750,43950,121483
316,20190617,945,43950,44000,43850,43950,44880
317,20190617,950,43950,43950,43850,43950,40820
318,20190617,955,43950,43950,43800,43850,62697
