,date,times,start,high:,low,end,vols
0,20210111,905,90000,91600,89500,91600,4556738
1,20210111,910,91600,94100,91500,94000,2445455
2,20210111,915,94000,94100,93300,93400,2766990
3,20210111,920,93400,93500,91800,92700,2604370
4,20210111,925,92700,92900,92300,92800,1457724
5,20210111,930,92800,93000,92600,92900,1137684
6,20210111,935,92900,93700,92800,93100,1622822
7,20210111,940,93100,93200,92800,93200,922333
8,20210111,945,93200,93200,92900,93100,695017
9,20210111,950,93000,93100,92300,92800,1613961
10,20210111,955,92900,93200,92700,93200,609113
11,20210111,1000,93200,93900,93100,93900,1413362
12,20210111,1005,93900,94400,93800,94200,1894252
13,20210111,1010,94200,95000,94100,94600,1551361
14,20210111,1015,94600,96600,94400,96500,2621250
15,20210111,1020,96500,96800,95300,95700,2238984
16,20210111,1025,95700,96500,95200,95800,1671785
17,20210111,1030,95800,96300,95600,96100,1234189
18,20210111,1035,96100,96300,95900,96300,909178
19,20210111,1040,96200,96400,95200,95300,1640241
20,20210111,1045,95200,95700,95000,95300,1234884
21,20210111,1050,95300,95300,94400,95100,1853847
22,20210111,1055,95100,95200,94400,94400,891404
23,20210111,1100,94400,94500,93300,93700,2201626
24,20210111,1105,93700,94200,92400,92400,2289612
25,20210111,1110,92400,93100,91500,93000,3449555
26,20210111,1115,93000,93800,92300,92600,2072071
27,20210111,1120,92600,92800,91800,92600,1659193
28,20210111,1125,92600,92900,91800,92200,1093727
29,20210111,1130,92200,93400,92000,92800,1120255
30,20210111,1135,92800,93100,92500,92800,661635
31,20210111,1140,92800,93000,92000,92100,733167
32,20210111,1145,92000,92700,92000,92300,756412
33,20210111,1150,92200,92900,92200,92900,673989
34,20210111,1155,92900,93300,92500,93200,784234
35,20210111,1200,93200,93600,93000,93500,709930
36,20210111,1205,93500,94000,93400,93500,944315
37,20210111,1210,93600,93600,92900,93200,746715
38,20210111,1215,93200,93300,92800,93000,436857
39,20210111,1220,93000,93400,92600,92700,560002
40,20210111,1225,92700,93000,92600,92800,544270
41,20210111,1230,92800,92800,92300,92300,633690
42,20210111,1235,92300,92900,92100,92700,696752
43,20210111,1240,92700,92800,92300,92500,348910
44,20210111,1245,92500,92500,92000,92500,691073
45,20210111,1250,92400,92600,92100,92200,422001
46,20210111,1255,92200,93000,92200,92800,472062
47,20210111,1300,92700,92800,92200,92200,351877
48,20210111,1305,92200,92400,92100,92200,428777
49,20210111,1310,92200,92300,91600,91700,1364429
50,20210111,1315,91700,91700,90500,90700,1732150
51,20210111,1320,90700,91100,90000,90700,1523274
52,20210111,1325,90700,91000,90000,90100,944944
53,20210111,1330,90100,90700,90000,90100,936413
54,20210111,1335,90100,91100,90000,91000,1019201
55,20210111,1340,91000,91000,90500,90800,655000
56,20210111,1345,90700,91300,90700,91300,567666
57,20210111,1350,91300,91800,91100,91100,1063394
58,20210111,1355,91100,91200,90700,90700,554947
59,20210111,1400,90700,91400,90700,91300,555109
60,20210111,1405,91400,91500,91100,91500,497060
61,20210111,1410,91400,92400,91400,92100,909176
62,20210111,1415,92100,92500,91800,92400,876248
63,20210111,1420,92400,92500,91700,92100,817668
64,20210111,1425,92000,92100,91300,91500,598748
65,20210111,1430,91400,92400,91400,92300,603863
66,20210111,1435,92300,92400,91900,92300,520479
67,20210111,1440,92400,92400,91500,91600,688716
68,20210111,1445,91700,92000,91100,91200,761265
69,20210111,1450,91100,91300,90700,90800,1147652
