,date,times,start,high:,low,end,vols
0,20191115,905,52900,53000,52600,52600,427064
1,20191115,910,52600,52800,52600,52800,87952
2,20191115,915,52700,52900,52700,52900,100872
3,20191115,920,52900,52900,52700,52700,66290
4,20191115,925,52700,52800,52600,52700,55551
5,20191115,930,52700,52800,52700,52800,6254
6,20191115,935,52700,52800,52700,52800,10960
7,20191115,940,52800,53000,52700,53000,258639
8,20191115,945,53000,53100,52900,53100,180526
9,20191115,950,53100,53300,53000,53200,147491
10,20191115,955,53200,53300,53200,53300,30928
11,20191115,1000,53300,53400,53200,53400,178544
12,20191115,1005,53300,53400,53200,53300,170794
13,20191115,1010,53300,53400,53200,53300,90263
14,20191115,1015,53400,53400,53300,53400,49747
15,20191115,1020,53300,53500,53300,53400,266558
16,20191115,1025,53400,53500,53400,53500,66919
17,20191115,1030,53400,53500,53400,53400,92272
18,20191115,1035,53400,53500,53400,53400,103369
19,20191115,1040,53500,53500,53400,53500,57017
20,20191115,1045,53500,53500,53400,53400,132373
21,20191115,1050,53400,53500,53400,53500,159408
22,20191115,1055,53400,53500,53400,53400,76541
23,20191115,1100,53500,53500,53400,53400,74313
24,20191115,1105,53400,53500,53400,53400,234449
25,20191115,1110,53500,53500,53400,53500,66526
26,20191115,1115,53400,53500,53400,53500,101619
27,20191115,1120,53500,53500,53400,53400,36595
28,20191115,1125,53400,53500,53400,53500,44038
29,20191115,1130,53400,53500,53400,53400,56753
30,20191115,1135,53400,53500,53400,53500,59336
31,20191115,1140,53400,53500,53400,53500,81247
32,20191115,1145,53500,53600,53400,53500,774235
33,20191115,1150,53600,53600,53500,53500,37897
34,20191115,1155,53600,53600,53400,53500,138339
35,20191115,1200,53400,53600,53400,53600,88869
36,20191115,1205,53600,53600,53500,53500,23317
37,20191115,1210,53500,53600,53500,53600,28782
38,20191115,1215,53600,53600,53500,53500,60865
39,20191115,1220,53500,53600,53500,53500,36245
40,20191115,1225,53500,53600,53500,53600,42853
41,20191115,1230,53500,53600,53500,53500,33985
42,20191115,1235,53600,53600,53500,53600,37836
43,20191115,1240,53500,53600,53400,53400,81399
44,20191115,1245,53500,53500,53400,53500,28770
45,20191115,1250,53500,53500,53400,53500,35283
46,20191115,1255,53400,53500,53400,53400,43766
47,20191115,1300,53400,53500,53400,53400,51869
48,20191115,1305,53400,53500,53400,53400,86808
49,20191115,1310,53500,53600,53400,53600,396148
50,20191115,1315,53600,53600,53500,53500,19752
51,20191115,1320,53600,53600,53500,53500,48384
52,20191115,1325,53600,53600,53500,53600,33974
53,20191115,1330,53500,53600,53500,53500,32647
54,20191115,1335,53500,53600,53500,53500,49941
55,20191115,1340,53500,53600,53400,53500,114526
56,20191115,1345,53500,53500,53400,53400,71010
57,20191115,1350,53400,53500,53400,53500,47436
58,20191115,1355,53500,53500,53400,53500,69818
59,20191115,1400,53400,53500,53400,53400,43061
60,20191115,1405,53400,53500,53400,53400,59487
61,20191115,1410,53400,53500,53400,53400,30070
62,20191115,1415,53400,53500,53400,53500,26663
63,20191115,1420,53400,53500,53400,53400,26903
64,20191115,1425,53400,53500,53400,53400,46694
65,20191115,1430,53500,53500,53300,53300,286688
66,20191115,1435,53400,53500,53300,53400,119152
67,20191115,1440,53400,53500,53400,53400,47055
68,20191115,1445,53500,53500,53400,53500,28126
69,20191115,1450,53400,53500,53400,53400,74405
70,20191115,1455,53400,53500,53400,53500,51415
71,20191115,1500,53500,53500,53400,53500,56596
72,20191115,1505,53500,53600,53400,53500,597619
73,20191115,1510,53600,53600,53500,53600,58810
74,20191115,1515,53600,53600,53500,53500,198546
75,20191115,1520,53500,53700,53500,53700,640478
76,20191115,1530,53700,53700,53700,53700,1207028
77,20191118,905,53600,53700,53400,53600,769726
78,20191118,910,53600,53700,53500,53500,134528
79,20191118,915,53600,53600,53500,53600,66161
80,20191118,920,53600,53600,53500,53500,69560
81,20191118,925,53500,53600,53500,53600,47147
82,20191118,930,53600,53600,53500,53600,36199
83,20191118,935,53500,53700,53500,53700,274588
84,20191118,940,53700,53800,53500,53500,341556
85,20191118,945,53500,53600,53500,53600,42069
86,20191118,950,53600,53600,53400,53500,150676
87,20191118,955,53400,53600,53400,53400,140242
88,20191118,1000,53400,53600,53400,53500,115930
89,20191118,1005,53600,53600,53500,53500,24112
90,20191118,1010,53600,53600,53500,53600,41001
91,20191118,1015,53600,53600,53500,53500,28144
92,20191118,1020,53600,53700,53500,53600,217778
93,20191118,1025,53600,53700,53500,53600,100361
94,20191118,1030,53500,53600,53500,53600,26121
95,20191118,1035,53600,53600,53500,53500,14446
96,20191118,1040,53500,53600,53500,53600,23986
97,20191118,1045,53600,53600,53500,53600,76595
