,date,times,start,high:,low,end,vols
0,20200422,905,48700,48950,48650,48850,1098363
1,20200422,910,48850,48850,48700,48700,480630
2,20200422,915,48750,48850,48600,48600,438168
3,20200422,920,48650,48650,48500,48550,452245
4,20200422,925,48550,48550,48350,48450,613992
5,20200422,930,48450,48500,48350,48450,299151
6,20200422,935,48450,48500,48400,48500,155046
7,20200422,940,48500,48600,48450,48550,271536
8,20200422,945,48550,48600,48500,48550,173251
9,20200422,950,48550,48600,48500,48550,244648
10,20200422,955,48550,48550,48400,48500,395209
11,20200422,1000,48450,48500,48400,48450,270726
12,20200422,1005,48500,48500,48400,48450,190666
13,20200422,1010,48450,48500,48350,48450,307542
14,20200422,1015,48450,48500,48400,48400,129760
15,20200422,1020,48450,48500,48350,48450,248781
16,20200422,1025,48450,48550,48450,48450,143901
17,20200422,1030,48500,48600,48450,48600,231700
18,20200422,1035,48600,48600,48500,48550,129048
19,20200422,1040,48500,48550,48450,48450,215005
20,20200422,1045,48500,48550,48450,48550,154989
21,20200422,1050,48550,48550,48450,48550,103638
22,20200422,1055,48500,48650,48450,48650,188256
23,20200422,1100,48600,48750,48600,48750,139135
24,20200422,1105,48700,48750,48550,48600,222732
25,20200422,1110,48600,48800,48550,48800,133422
26,20200422,1115,48800,48800,48700,48800,172344
27,20200422,1120,48800,49050,48750,49000,363675
28,20200422,1125,49000,49000,48850,48900,151616
29,20200422,1130,48900,48900,48800,48900,138674
30,20200422,1135,48850,48950,48800,48950,175447
31,20200422,1140,48950,48950,48800,48850,121907
32,20200422,1145,48850,49000,48800,48950,94282
33,20200422,1150,48950,49050,48900,49000,101979
34,20200422,1155,49000,49050,48900,48950,131353
35,20200422,1200,48900,49050,48900,49050,92772
36,20200422,1205,49050,49050,48950,49000,78643
37,20200422,1210,49000,49050,48950,49050,109802
38,20200422,1215,49050,49100,48950,48950,282427
39,20200422,1220,49000,49050,48900,48950,118455
40,20200422,1225,48900,49000,48850,48950,155543
41,20200422,1230,49000,49050,48950,49050,113160
42,20200422,1235,49050,49050,48950,49050,72915
43,20200422,1240,49000,49100,49000,49050,107526
44,20200422,1245,49000,49050,48950,49000,116875
45,20200422,1250,49050,49100,49000,49000,86085
46,20200422,1255,49000,49050,48950,49050,135121
47,20200422,1300,49050,49050,48900,49000,125654
48,20200422,1305,48950,49000,48900,48950,166291
49,20200422,1310,49000,49050,48950,48950,48758
50,20200422,1315,49000,49050,48900,48950,237079
51,20200422,1320,48950,49050,48900,49000,100785
52,20200422,1325,49050,49100,48950,49050,242645
53,20200422,1330,49050,49150,49000,49000,318773
54,20200422,1335,49000,49050,48900,48950,298074
55,20200422,1340,49000,49050,48900,48950,156851
56,20200422,1345,48950,49000,48900,48950,106032
57,20200422,1350,48950,49050,48950,49050,84217
58,20200422,1355,49000,49050,48900,49000,230848
59,20200422,1400,49000,49000,48900,48900,170494
60,20200422,1405,48950,49050,48900,49000,175918
61,20200422,1410,49050,49100,49000,49050,134196
62,20200422,1415,49050,49100,49000,49100,57098
63,20200422,1420,49050,49100,49000,49100,160774
64,20200422,1425,49100,49150,49050,49150,109823
65,20200422,1430,49150,49350,49100,49300,401267
66,20200422,1435,49350,49350,49200,49250,162077
67,20200422,1440,49250,49400,49200,49400,263395
68,20200422,1445,49400,49600,49350,49600,505349
69,20200422,1450,49600,49600,49350,49400,321833
70,20200422,1455,49400,49650,49400,49600,237802
71,20200422,1500,49650,49750,49600,49650,357263
72,20200422,1505,49650,49700,49550,49600,215485
73,20200422,1510,49600,49700,49550,49650,219735
74,20200422,1515,49650,49800,49600,49800,285392
75,20200422,1520,49750,50000,49750,50000,589415
76,20200422,1530,49850,49850,49850,49850,1703996
77,20200423,905,50200,50300,49950,49950,1936574
78,20200423,910,49950,50200,49950,50100,507025
79,20200423,915,50000,50100,49950,49950,513139
80,20200423,920,49950,50100,49800,49800,351150
81,20200423,925,49800,49850,49500,49650,700252
82,20200423,930,49650,49800,49600,49650,274764
83,20200423,935,49700,49750,49550,49600,345641
84,20200423,940,49650,49750,49550,49650,256321
85,20200423,945,49700,49950,49650,49950,277195
86,20200423,950,49900,49950,49850,49950,180314
87,20200423,955,49900,49950,49850,49900,92579
88,20200423,1000,49900,49900,49800,49850,151869
89,20200423,1005,49850,50100,49800,50100,283520
90,20200423,1010,50100,50200,50000,50200,296927
91,20200423,1015,50200,50200,49950,49950,339937
92,20200423,1020,49950,50100,49950,50100,135385
93,20200423,1025,50100,50100,50000,50100,64556
94,20200423,1030,50000,50100,49950,49950,199236
95,20200423,1035,50000,50000,49850,49900,201895
96,20200423,1040,49900,50100,49850,50100,204846
97,20200423,1045,50000,50100,49850,49900,213212
98,20200423,1050,49900,50000,49850,49900,137667
99,20200423,1055,49900,49900,49850,49850,58693
100,20200423,1100,49900,50000,49850,49950,242344
101,20200423,1105,49950,50000,49900,50000,157798
102,20200423,1110,49950,50000,49900,49950,178478
103,20200423,1115,49950,50100,49950,50000,271296
104,20200423,1120,50000,50100,49900,49900,111497
105,20200423,1125,49900,49950,49800,49850,222368
106,20200423,1130,49850,49900,49750,49800,208598
107,20200423,1135,49750,49950,49750,49900,99376
108,20200423,1140,49850,49900,49800,49850,90938
109,20200423,1145,49800,49850,49600,49650,295802
110,20200423,1150,49600,49800,49550,49800,178272
111,20200423,1155,49750,49800,49750,49750,27237
112,20200423,1200,49750,49800,49700,49750,143391
113,20200423,1205,49750,49800,49700,49700,100190
114,20200423,1210,49750,49750,49700,49750,40431
115,20200423,1215,49750,49800,49650,49750,157116
116,20200423,1220,49800,49800,49750,49800,28175
117,20200423,1225,49750,49800,49700,49700,74102
118,20200423,1230,49700,49800,49700,49750,84237
119,20200423,1235,49750,49850,49750,49750,258629
120,20200423,1240,49800,49800,49700,49750,133923
121,20200423,1245,49800,49800,49700,49750,45973
122,20200423,1250,49700,49750,49600,49600,193453
123,20200423,1255,49650,49700,49600,49650,78176
124,20200423,1300,49650,49750,49650,49650,139013
125,20200423,1305,49650,49750,49650,49700,86974
126,20200423,1310,49700,49900,49700,49800,309418
127,20200423,1315,49800,49850,49750,49800,142430
128,20200423,1320,49800,49850,49750,49800,141089
129,20200423,1325,49750,49850,49750,49850,81535
130,20200423,1330,49800,49950,49800,49900,296816
131,20200423,1335,49900,49950,49800,49950,291813
132,20200423,1340,49900,49950,49850,49950,124740
133,20200423,1345,49900,50000,49900,50000,181175
134,20200423,1350,49950,50000,49900,49950,256086
135,20200423,1355,49900,49950,49900,49900,61916
136,20200423,1400,49950,50000,49900,49950,89631
137,20200423,1405,50000,50100,49950,50100,310154
138,20200423,1410,50000,50200,50000,50000,304069
139,20200423,1415,50000,50100,50000,50000,63040
140,20200423,1420,50100,50100,49950,49950,270442
141,20200423,1425,49950,50100,49950,50000,97900
142,20200423,1430,50000,50100,49950,50000,238692
143,20200423,1435,50100,50100,49950,50000,133541
144,20200423,1440,49950,50000,49900,49950,121365
145,20200423,1445,49950,50000,49850,49850,150025
146,20200423,1450,49900,49900,49750,49850,226923
147,20200423,1455,49850,49950,49800,49800,212301
148,20200423,1500,49850,49850,49750,49800,122454
149,20200423,1505,49800,49950,49750,49950,288132
150,20200423,1510,49900,50100,49900,50000,473024
151,20200423,1515,50000,50100,49900,49950,156842
152,20200423,1520,49900,49950,49850,49950,168235
153,20200423,1530,49850,49850,49850,49850,1245024
154,20200424,905,49650,49750,49550,49650,1251701
155,20200424,910,49650,49700,49500,49550,450323
156,20200424,915,49550,49600,49500,49550,257862
157,20200424,920,49550,49600,49400,49450,310120
158,20200424,925,49450,49500,49400,49450,183710
159,20200424,930,49450,49550,49400,49400,310371
160,20200424,935,49450,49550,49400,49450,180815
161,20200424,940,49400,49450,49300,49400,324057
162,20200424,945,49400,49450,49350,49400,112869
163,20200424,950,49400,49500,49400,49400,137832
164,20200424,955,49400,49450,49300,49350,225547
165,20200424,1000,49350,49450,49300,49450,166692
166,20200424,1005,49400,49550,49400,49500,191756
167,20200424,1010,49500,49550,49450,49500,114271
168,20200424,1015,49500,49550,49450,49500,156307
169,20200424,1020,49450,49500,49400,49450,119557
170,20200424,1025,49400,49450,49350,49350,170444
171,20200424,1030,49350,49450,49300,49450,230807
172,20200424,1035,49400,49450,49300,49350,196835
173,20200424,1040,49400,49500,49350,49450,135622
174,20200424,1045,49450,49500,49400,49450,60694
175,20200424,1050,49450,49500,49450,49500,49717
176,20200424,1055,49450,49500,49350,49400,212389
177,20200424,1100,49400,49450,49350,49350,79391
178,20200424,1105,49350,49500,49350,49450,160459
179,20200424,1110,49400,49450,49400,49400,134946
180,20200424,1115,49400,49450,49350,49450,162496
181,20200424,1120,49400,49450,49350,49400,130147
182,20200424,1125,49400,49400,49350,49400,48068
183,20200424,1130,49350,49400,49300,49350,216641
184,20200424,1135,49350,49400,49300,49350,39842
185,20200424,1140,49400,49500,49350,49450,158565
186,20200424,1145,49500,49500,49450,49450,33399
187,20200424,1150,49500,49500,49400,49450,113307
188,20200424,1155,49450,49500,49400,49400,36404
189,20200424,1200,49400,49500,49400,49500,104838
190,20200424,1205,49500,49500,49400,49400,139936
191,20200424,1210,49450,49500,49400,49500,65436
192,20200424,1215,49450,49500,49400,49400,172633
193,20200424,1220,49400,49450,49350,49350,214072
194,20200424,1225,49350,49450,49350,49400,76439
195,20200424,1230,49400,49400,49350,49350,137700
196,20200424,1235,49350,49400,49350,49350,41785
197,20200424,1240,49400,49400,49350,49350,44542
198,20200424,1245,49350,49450,49350,49400,196468
199,20200424,1250,49400,49450,49350,49400,70482
200,20200424,1255,49400,49450,49350,49450,65072
201,20200424,1300,49400,49450,49350,49400,69884
202,20200424,1305,49350,49450,49350,49400,99947
203,20200424,1310,49400,49450,49350,49350,69425
204,20200424,1315,49400,49400,49350,49400,62491
205,20200424,1320,49400,49400,49300,49300,356687
206,20200424,1325,49350,49400,49300,49350,127081
207,20200424,1330,49350,49400,49350,49350,58373
208,20200424,1335,49350,49400,49350,49350,38723
209,20200424,1340,49350,49400,49300,49300,166446
210,20200424,1345,49350,49350,49250,49250,470240
211,20200424,1350,49250,49300,49250,49250,202002
212,20200424,1355,49300,49300,49200,49250,178761
213,20200424,1400,49250,49250,49150,49150,392003
214,20200424,1405,49200,49200,49050,49050,342469
