,date,times,start,high:,low,end,vols
0,20200302,905,54300,54800,54300,54600,2679926
1,20200302,910,54600,54700,54500,54600,556659
2,20200302,915,54600,54600,54200,54300,684202
3,20200302,920,54300,54300,53800,54000,1060054
4,20200302,925,53900,54100,53900,54100,268224
5,20200302,930,54100,54100,53800,53900,394159
6,20200302,935,53900,53900,53600,53800,532282
7,20200302,940,53800,53800,53600,53700,244168
8,20200302,945,53700,53800,53600,53800,362864
9,20200302,950,53800,54000,53700,54000,471019
10,20200302,955,54000,54200,53900,54000,378317
11,20200302,1000,54000,54100,53900,54100,192634
12,20200302,1005,54000,54200,54000,54100,410012
13,20200302,1010,54000,54200,54000,54200,240920
14,20200302,1015,54200,54400,54200,54200,576373
15,20200302,1020,54300,54500,54200,54400,329671
16,20200302,1025,54400,54700,54300,54700,462753
17,20200302,1030,54700,54800,54500,54700,561014
18,20200302,1035,54700,55100,54600,55100,1011752
19,20200302,1040,55100,55200,54900,55100,497959
20,20200302,1045,55100,55400,55000,55100,676879
21,20200302,1050,55200,55200,54900,55000,499373
22,20200302,1055,55000,55000,54800,55000,327447
23,20200302,1100,54900,55000,54600,54700,416520
24,20200302,1105,54700,55000,54600,55000,318307
25,20200302,1110,54900,55100,54800,54900,195401
26,20200302,1115,54900,55100,54800,55100,155137
27,20200302,1120,55100,55300,55000,55300,215593
28,20200302,1125,55300,55300,55000,55100,392896
29,20200302,1130,55100,55200,55000,55100,203624
30,20200302,1135,55100,55300,55000,55300,286729
31,20200302,1140,55300,55300,55000,55100,620371
32,20200302,1145,55100,55200,55000,55200,150967
33,20200302,1150,55200,55400,55100,55400,262129
34,20200302,1155,55400,55400,55200,55400,406159
35,20200302,1200,55400,55400,55200,55300,259379
36,20200302,1205,55300,55400,55200,55300,147656
37,20200302,1210,55300,55500,55200,55400,446053
38,20200302,1215,55500,55500,55200,55300,357163
39,20200302,1220,55200,55300,55100,55200,216997
40,20200302,1225,55100,55200,55000,55200,360093
41,20200302,1230,55200,55300,55100,55100,204650
42,20200302,1235,55200,55200,55000,55200,251898
43,20200302,1240,55200,55400,55100,55400,262849
44,20200302,1245,55400,55500,55300,55400,317519
45,20200302,1250,55400,55400,55100,55200,356497
46,20200302,1255,55300,55300,55000,55100,515210
47,20200302,1300,55100,55100,55000,55100,168788
48,20200302,1305,55100,55100,55000,55000,143815
49,20200302,1310,55100,55200,55000,55200,274021
50,20200302,1315,55200,55200,55000,55100,162907
51,20200302,1320,55100,55200,55000,55200,276239
52,20200302,1325,55200,55300,55100,55100,315023
53,20200302,1330,55200,55300,55100,55200,283176
54,20200302,1335,55200,55200,55000,55100,250375
55,20200302,1340,55100,55100,54900,55000,301085
56,20200302,1345,55000,55200,54900,55100,276037
57,20200302,1350,55100,55100,55000,55100,71179
58,20200302,1355,55100,55200,55000,55200,190885
59,20200302,1400,55200,55200,55000,55100,198462
60,20200302,1405,55100,55200,55000,55100,162835
61,20200302,1410,55100,55200,55000,55100,261440
62,20200302,1415,55100,55100,55000,55000,136706
63,20200302,1420,55000,55100,54900,55000,253549
64,20200302,1425,55000,55100,54900,55100,306026
65,20200302,1430,55100,55100,54900,55100,352184
66,20200302,1435,55100,55100,55000,55100,119245
67,20200302,1440,55100,55200,55000,55200,245862
68,20200302,1445,55200,55200,55100,55100,191790
69,20200302,1450,55100,55200,55000,55100,215844
70,20200302,1455,55000,55100,54900,55000,461606
71,20200302,1500,55000,55100,54900,55000,189404
72,20200302,1505,55100,55100,54900,55000,245848
73,20200302,1510,55000,55000,54900,54900,287151
74,20200302,1515,55000,55100,54900,55000,463001
75,20200302,1520,55100,55200,55000,55100,370589
76,20200302,1530,55000,55000,55000,55000,1300409
77,20200303,905,56700,56900,56400,56500,3340963
78,20200303,910,56500,56700,56200,56600,1134015
79,20200303,915,56600,56700,56500,56500,485380
80,20200303,920,56500,56600,56200,56300,633495
81,20200303,925,56200,56500,56200,56500,319828
82,20200303,930,56500,56500,56300,56300,228024
83,20200303,935,56400,56400,56300,56400,130230
84,20200303,940,56400,56500,56300,56500,325173
85,20200303,945,56500,56500,56300,56500,228102
86,20200303,950,56500,56500,56300,56400,219275
87,20200303,955,56400,56400,56300,56300,104106
88,20200303,1000,56300,56400,56300,56400,94950
89,20200303,1005,56400,56400,56200,56400,577313
90,20200303,1010,56400,56400,56200,56200,119880
91,20200303,1015,56200,56300,56000,56000,689859
92,20200303,1020,56000,56100,55800,55900,801249
93,20200303,1025,55900,56000,55800,56000,229293
94,20200303,1030,56000,56000,55900,56000,167706
95,20200303,1035,56000,56000,55800,55900,387340
96,20200303,1040,55900,56000,55800,55800,104259
97,20200303,1045,55900,55900,55600,55700,441407
98,20200303,1050,55800,55800,55600,55700,144943
99,20200303,1055,55700,55800,55600,55700,317092
100,20200303,1100,55700,55700,55600,55700,67392
101,20200303,1105,55700,55800,55600,55700,379160
102,20200303,1110,55800,55900,55700,55900,250528
103,20200303,1115,55800,55900,55600,55800,388012
104,20200303,1120,55800,55800,55700,55700,59234
105,20200303,1125,55800,55800,55600,55600,167578
106,20200303,1130,55700,55800,55600,55800,208707
107,20200303,1135,55800,55800,55700,55800,198893
108,20200303,1140,55800,55900,55700,55900,176819
109,20200303,1145,55900,55900,55700,55900,114817
110,20200303,1150,55900,56200,55800,56200,593497
111,20200303,1155,56200,56300,56000,56100,589566
112,20200303,1200,56100,56100,55900,56000,613534
113,20200303,1205,56000,56100,55900,56000,239048
114,20200303,1210,56000,56000,55900,56000,101882
115,20200303,1215,56000,56000,55900,56000,213715
116,20200303,1220,56000,56000,55900,56000,47643
117,20200303,1225,56000,56200,55900,56200,311921
118,20200303,1230,56200,56400,56100,56400,435466
119,20200303,1235,56400,56500,56300,56400,340173
120,20200303,1240,56500,56700,56400,56700,533265
121,20200303,1245,56700,56900,56600,56800,663270
122,20200303,1250,56900,56900,56600,56700,583631
123,20200303,1255,56800,56900,56700,56900,196312
124,20200303,1300,56900,56900,56600,56800,410281
125,20200303,1305,56700,56800,56400,56500,284306
126,20200303,1310,56500,56600,56400,56600,201750
127,20200303,1315,56600,56700,56500,56600,256241
128,20200303,1320,56600,56600,56400,56500,180265
129,20200303,1325,56500,56500,56200,56300,436705
130,20200303,1330,56200,56400,56100,56100,432450
131,20200303,1335,56200,56300,56100,56200,456220
132,20200303,1340,56200,56200,56000,56100,335397
