,date,times,start,high:,low,end,vols
0,20190418,905,47200,47250,46850,47000,609479
1,20190418,910,47000,47050,46950,46950,172460
2,20190418,915,47000,47000,46700,46700,174402
3,20190418,920,46700,46850,46650,46800,178204
4,20190418,925,46750,46900,46750,46750,68577
5,20190418,930,46750,46800,46700,46750,99865
6,20190418,935,46700,46750,46700,46750,51784
7,20190418,940,46750,46850,46700,46750,98604
8,20190418,945,46800,46900,46750,46850,107102
9,20190418,950,46850,46900,46750,46800,87266
10,20190418,955,46850,46850,46750,46800,34617
11,20190418,1000,46800,46800,46650,46650,143348
12,20190418,1005,46700,46750,46650,46750,85200
13,20190418,1010,46750,46750,46600,46600,76112
14,20190418,1015,46650,46650,46500,46550,202379
15,20190418,1020,46550,46600,46500,46550,104227
16,20190418,1025,46550,46600,46500,46550,61285
17,20190418,1030,46550,46600,46500,46550,58328
18,20190418,1035,46500,46550,46450,46450,142053
19,20190418,1040,46450,46500,46300,46300,165584
20,20190418,1045,46300,46400,46250,46250,294717
21,20190418,1050,46300,46350,46200,46250,180421
22,20190418,1055,46250,46250,46100,46100,206772
23,20190418,1100,46100,46250,46050,46150,123042
24,20190418,1105,46150,46250,46100,46150,165746
25,20190418,1110,46150,46150,46050,46100,118098
26,20190418,1115,46050,46100,45900,45950,312211
27,20190418,1120,45950,46000,45850,45950,215664
28,20190418,1125,45950,46000,45900,46000,51156
29,20190418,1130,46000,46100,45950,46100,127118
30,20190418,1135,46100,46100,46050,46100,38848
31,20190418,1140,46100,46100,46000,46000,48997
32,20190418,1145,46050,46050,46000,46000,45136
33,20190418,1150,46000,46050,45900,45900,171599
34,20190418,1155,45900,46000,45850,45950,65162
35,20190418,1200,46000,46100,45950,46050,136168
36,20190418,1205,46000,46100,46000,46050,48691
37,20190418,1210,46050,46050,46000,46050,39517
38,20190418,1215,46050,46050,45950,46000,45483
39,20190418,1220,46000,46000,45900,45900,64059
40,20190418,1225,45900,45950,45850,45900,113205
41,20190418,1230,45900,46000,45850,46000,140032
42,20190418,1235,45950,46000,45850,45900,50603
43,20190418,1240,45900,45900,45850,45850,28939
44,20190418,1245,45850,45900,45800,45850,120507
45,20190418,1250,45850,45850,45800,45850,64787
46,20190418,1255,45850,45850,45800,45800,71231
47,20190418,1300,45850,45850,45800,45850,47968
48,20190418,1305,45800,45850,45800,45850,37833
49,20190418,1310,45800,45850,45800,45850,37772
50,20190418,1315,45850,45950,45800,45900,183887
51,20190418,1320,45900,46000,45850,46000,117672
52,20190418,1325,46000,46000,45950,46000,83601
53,20190418,1330,46000,46000,45950,45950,36580
54,20190418,1335,45950,46000,45950,46000,26209
55,20190418,1340,46000,46050,45950,46000,103226
56,20190418,1345,46000,46000,45900,45900,150144
57,20190418,1350,45900,45950,45850,45850,238303
58,20190418,1355,45900,46000,45850,45950,111414
59,20190418,1400,46000,46000,45750,45800,302607
60,20190418,1405,45750,45800,45750,45800,64405
61,20190418,1410,45750,45850,45700,45750,265285
62,20190418,1415,45750,45850,45750,45800,76848
63,20190418,1420,45800,45850,45750,45800,94451
64,20190418,1425,45850,45850,45750,45750,95949
65,20190418,1430,45800,45800,45700,45750,93271
66,20190418,1435,45750,45750,45650,45650,203525
67,20190418,1440,45650,45700,45650,45650,84478
68,20190418,1445,45650,45700,45600,45650,183134
69,20190418,1450,45600,45650,45550,45600,128171
70,20190418,1455,45550,45600,45500,45550,182513
71,20190418,1500,45550,45600,45500,45600,276755
72,20190418,1505,45550,45750,45550,45750,244543
73,20190418,1510,45750,45750,45650,45700,229207
74,20190418,1515,45700,45800,45700,45750,166600
75,20190418,1520,45750,45800,45700,45750,133263
76,20190418,1530,45600,45600,45600,45600,1016644
77,20190419,905,45750,46000,45700,45750,684615
78,20190419,910,45800,45900,45750,45800,225749
79,20190419,915,45750,45800,45700,45800,153935
80,20190419,920,45750,45800,45700,45800,185239
81,20190419,925,45800,45850,45750,45750,309226
82,20190419,930,45800,45850,45750,45750,173993
83,20190419,935,45750,45950,45750,45900,264553
84,20190419,940,45900,46000,45850,45900,257983
85,20190419,945,45950,45950,45850,45850,116837
86,20190419,950,45850,45850,45700,45750,156488
87,20190419,955,45750,45800,45650,45650,111520
88,20190419,1000,45650,45700,45600,45600,116384
89,20190419,1005,45600,45650,45550,45550,163186
90,20190419,1010,45550,45600,45450,45450,151200
91,20190419,1015,45450,45500,45350,45400,155531
92,20190419,1020,45350,45400,45350,45400,89504
93,20190419,1025,45400,45500,45350,45450,213303
94,20190419,1030,45450,45500,45400,45450,119476
95,20190419,1035,45400,45450,45400,45400,118050
96,20190419,1040,45450,45450,45350,45400,147183
97,20190419,1045,45400,45450,45350,45400,199562
98,20190419,1050,45350,45400,45350,45400,79638
99,20190419,1055,45350,45500,45350,45450,83047
100,20190419,1100,45450,45500,45400,45450,49881
101,20190419,1105,45450,45450,45400,45450,28880
102,20190419,1110,45450,45450,45350,45350,144263
103,20190419,1115,45400,45400,45350,45400,26048
104,20190419,1120,45350,45400,45350,45400,40236
105,20190419,1125,45350,45450,45350,45450,76007
106,20190419,1130,45400,45450,45400,45450,19739
107,20190419,1135,45450,45450,45350,45350,52490
108,20190419,1140,45400,45400,45350,45400,28288
109,20190419,1145,45400,45400,45350,45350,22194
110,20190419,1150,45400,45400,45350,45350,20747
111,20190419,1155,45350,45400,45250,45300,268223
112,20190419,1200,45300,45300,45250,45250,26284
113,20190419,1205,45250,45300,45250,45300,21569
114,20190419,1210,45250,45350,45250,45300,138067
115,20190419,1215,45300,45350,45300,45300,15704
116,20190419,1220,45300,45350,45300,45300,27939
117,20190419,1225,45350,45400,45300,45400,85020
118,20190419,1230,45400,45400,45350,45400,21385
119,20190419,1235,45350,45450,45350,45450,72359
120,20190419,1240,45450,45450,45400,45450,12839
121,20190419,1245,45450,45450,45400,45450,22588
122,20190419,1250,45450,45450,45400,45400,17500
123,20190419,1255,45450,45450,45400,45400,26155
124,20190419,1300,45400,45450,45400,45450,25999
125,20190419,1305,45450,45450,45400,45400,29109
126,20190419,1310,45400,45450,45400,45450,20082
127,20190419,1315,45450,45550,45400,45450,238189
128,20190419,1320,45450,45500,45450,45450,33916
129,20190419,1325,45500,45500,45450,45500,27126
130,20190419,1330,45500,45500,45450,45500,58840
131,20190419,1335,45500,45500,45450,45450,30324
132,20190419,1340,45450,45500,45450,45500,32279
133,20190419,1345,45500,45500,45450,45450,32421
134,20190419,1350,45500,45500,45450,45450,37941
135,20190419,1355,45500,45500,45450,45500,24718
136,20190419,1400,45500,45500,45450,45450,23907
137,20190419,1405,45450,45500,45400,45450,152255
138,20190419,1410,45450,45450,45350,45350,132556
139,20190419,1415,45350,45400,45350,45350,34273
140,20190419,1420,45400,45500,45350,45450,255353
141,20190419,1425,45450,45450,45400,45400,27224
142,20190419,1430,45400,45450,45400,45400,36980
143,20190419,1435,45450,45450,45400,45400,69148
144,20190419,1440,45400,45450,45400,45400,35736
145,20190419,1445,45400,45450,45400,45400,52227
146,20190419,1450,45450,45450,45400,45400,52605
147,20190419,1455,45450,45450,45350,45400,218098
148,20190419,1500,45350,45400,45300,45300,148679
149,20190419,1505,45300,45350,45300,45350,51661
150,20190419,1510,45350,45350,45300,45350,106906
151,20190419,1515,45300,45350,45300,45350,75286
152,20190419,1520,45300,45350,45300,45350,134200
153,20190419,1530,45300,45300,45300,45300,615002
154,20190422,905,45400,45550,45350,45500,386688
155,20190422,910,45500,45600,45450,45600,181455
