,date,times,start,high:,low,end,vols
0,20190731,905,46200,46450,46200,46450,397674
1,20190731,910,46400,46600,46350,46550,269509
2,20190731,915,46550,46550,46400,46450,193394
3,20190731,920,46450,46450,46350,46350,144873
4,20190731,925,46350,46400,46300,46350,252035
5,20190731,930,46400,46400,46200,46200,200724
6,20190731,935,46250,46350,46200,46200,157647
7,20190731,940,46250,46400,46200,46300,151269
8,20190731,945,46300,46400,46300,46350,71610
9,20190731,950,46350,46400,46300,46300,59353
10,20190731,955,46300,46350,46300,46300,63202
11,20190731,1000,46300,46350,46100,46150,202065
12,20190731,1005,46100,46150,46100,46150,51463
13,20190731,1010,46150,46150,46050,46050,143374
14,20190731,1015,46050,46100,45950,45950,146235
15,20190731,1020,45950,46000,45450,45450,508049
16,20190731,1025,45450,45500,45000,45200,774777
17,20190731,1030,45200,45450,45150,45200,312896
18,20190731,1035,45200,45400,45150,45350,185622
19,20190731,1040,45350,45450,45300,45450,157288
20,20190731,1045,45450,45600,45300,45300,185538
21,20190731,1050,45350,45350,45250,45250,96079
22,20190731,1055,45300,45400,45200,45200,261334
23,20190731,1100,45250,45300,45200,45250,125921
24,20190731,1105,45250,45300,45150,45250,246135
25,20190731,1110,45250,45250,45150,45200,102213
26,20190731,1115,45150,45250,45150,45250,58107
27,20190731,1120,45200,45250,45200,45250,69749
28,20190731,1125,45250,45250,45150,45200,75043
29,20190731,1130,45200,45300,45150,45300,102591
30,20190731,1135,45300,45300,45250,45250,67939
31,20190731,1140,45250,45300,45250,45250,92550
32,20190731,1145,45250,45300,45150,45250,282173
33,20190731,1150,45250,45300,45200,45300,79569
34,20190731,1155,45300,45350,45250,45350,109585
35,20190731,1200,45350,45400,45250,45300,217635
36,20190731,1205,45250,45400,45250,45350,100015
37,20190731,1210,45400,45400,45300,45300,92272
38,20190731,1215,45350,45350,45300,45350,41866
39,20190731,1220,45350,45450,45300,45450,116747
40,20190731,1225,45450,45500,45400,45450,64121
41,20190731,1230,45500,45500,45450,45500,31169
42,20190731,1235,45450,45500,45350,45400,139517
43,20190731,1240,45400,45450,45300,45300,134498
44,20190731,1245,45350,45350,45300,45350,69750
45,20190731,1250,45300,45350,45300,45300,31250
46,20190731,1255,45300,45350,45300,45300,61083
47,20190731,1300,45350,45450,45300,45400,124600
48,20190731,1305,45400,45600,45400,45550,167801
49,20190731,1310,45550,45650,45550,45600,96995
50,20190731,1315,45650,45650,45600,45600,92097
51,20190731,1320,45600,45650,45500,45600,170975
52,20190731,1325,45600,45700,45550,45650,129310
53,20190731,1330,45600,45700,45600,45700,76259
54,20190731,1335,45650,45850,45650,45800,158680
55,20190731,1340,45800,45850,45650,45700,174182
56,20190731,1345,45700,45800,45650,45750,59657
57,20190731,1350,45800,45800,45750,45750,33053
58,20190731,1355,45800,45800,45600,45650,169678
59,20190731,1400,45650,45700,45600,45650,75609
60,20190731,1405,45650,45800,45650,45750,127202
61,20190731,1410,45800,45800,45750,45800,24206
62,20190731,1415,45800,45800,45750,45750,45979
63,20190731,1420,45750,45800,45750,45750,60988
64,20190731,1425,45800,45800,45750,45800,34039
65,20190731,1430,45800,45800,45750,45800,47325
66,20190731,1435,45800,45800,45750,45800,56804
67,20190731,1440,45750,46050,45750,46000,340540
68,20190731,1445,46000,46100,45800,45800,332683
69,20190731,1450,45850,45900,45700,45900,181990
70,20190731,1455,45900,45900,45700,45750,198166
71,20190731,1500,45700,45800,45700,45800,83663
72,20190731,1505,45750,45800,45750,45800,40936
73,20190731,1510,45800,45900,45750,45900,142373
74,20190731,1515,45900,45900,45850,45850,74125
75,20190731,1520,45850,45900,45600,45650,221983
76,20190731,1530,45350,45350,45350,45350,1781531
77,20190801,905,44900,45250,44850,45250,843021
78,20190801,910,45300,45300,44900,44900,320424
79,20190801,915,44950,45050,44850,44950,245398
80,20190801,920,44900,45000,44900,44950,155890
81,20190801,925,44950,45150,44950,45100,140330
82,20190801,930,45100,45100,45000,45050,83279
83,20190801,935,45000,45150,44950,45150,195562
84,20190801,940,45150,45300,45100,45200,90844
85,20190801,945,45200,45300,45200,45300,60920
86,20190801,950,45300,45300,45200,45300,127873
87,20190801,955,45300,45300,45200,45250,28765
88,20190801,1000,45200,45250,45100,45250,163810
89,20190801,1005,45250,45250,45150,45200,114646
90,20190801,1010,45200,45350,45150,45300,95340
91,20190801,1015,45300,45350,45250,45300,82454
92,20190801,1020,45300,45350,45250,45350,64848
93,20190801,1025,45350,45450,45300,45450,113772
94,20190801,1030,45450,45500,45250,45400,376098
95,20190801,1035,45400,45400,45250,45400,91494
96,20190801,1040,45350,45400,45300,45400,55650
97,20190801,1045,45400,45400,45250,45250,80395
98,20190801,1050,45250,45350,45250,45300,84252
99,20190801,1055,45300,45350,45200,45300,128441
100,20190801,1100,45300,45350,45250,45300,52235
101,20190801,1105,45300,45300,45200,45250,84381
102,20190801,1110,45300,45300,45150,45200,128023
103,20190801,1115,45250,45250,45150,45250,86117
104,20190801,1120,45200,45250,45150,45200,36809
105,20190801,1125,45150,45250,45150,45200,82693
106,20190801,1130,45200,45300,45200,45300,51181
107,20190801,1135,45300,45300,45150,45150,101679
108,20190801,1140,45200,45300,45150,45300,66566
109,20190801,1145,45300,45300,45200,45250,43316
110,20190801,1150,45250,45300,45200,45300,41869
111,20190801,1155,45300,45300,45250,45250,44105
112,20190801,1200,45250,45300,45200,45250,41282
113,20190801,1205,45250,45250,45200,45200,62301
114,20190801,1210,45250,45250,45200,45250,15287
115,20190801,1215,45250,45250,45200,45250,29227
116,20190801,1220,45250,45250,45150,45200,102090
117,20190801,1225,45200,45300,45200,45300,52763
118,20190801,1230,45300,45300,45200,45250,19852
119,20190801,1235,45250,45250,45200,45250,37615
120,20190801,1240,45250,45250,45200,45200,13036
121,20190801,1245,45200,45250,45200,45250,20117
122,20190801,1250,45250,45250,45200,45250,22312
123,20190801,1255,45200,45250,45200,45250,14927
124,20190801,1300,45200,45250,45200,45250,23010
125,20190801,1305,45200,45250,45200,45200,23451
126,20190801,1310,45200,45250,45150,45200,92840
127,20190801,1315,45150,45200,45150,45200,31072
128,20190801,1320,45150,45200,45150,45150,42153
129,20190801,1325,45200,45250,45150,45250,78530
130,20190801,1330,45250,45250,45200,45200,22541
131,20190801,1335,45250,45250,45200,45250,66169
132,20190801,1340,45250,45300,45250,45250,42073
133,20190801,1345,45300,45300,45200,45200,52979
134,20190801,1350,45200,45250,45200,45200,23291
135,20190801,1355,45250,45250,45200,45250,51487
136,20190801,1400,45250,45250,45200,45200,39287
137,20190801,1405,45200,45300,45200,45250,107798
138,20190801,1410,45250,45400,45250,45400,146540
139,20190801,1415,45400,45400,45250,45300,73901
140,20190801,1420,45250,45300,45250,45250,39153
141,20190801,1425,45250,45300,45250,45300,29770
142,20190801,1430,45250,45300,45250,45250,33508
143,20190801,1435,45250,45350,45250,45350,122295
144,20190801,1440,45350,45350,45200,45200,153148
145,20190801,1445,45250,45250,45200,45200,50598
146,20190801,1450,45250,45250,45200,45200,51785
147,20190801,1455,45200,45250,45200,45200,67215
148,20190801,1500,45250,45250,45100,45150,156512
149,20190801,1505,45100,45250,45100,45250,150059
150,20190801,1510,45250,45250,45200,45200,56240
151,20190801,1515,45200,45250,45150,45150,121038
152,20190801,1520,45200,45200,45150,45150,99490
153,20190801,1530,45200,45200,45200,45200,693955
154,20190802,905,44550,44750,44300,44750,1014688
155,20190802,910,44750,44800,44600,44650,189147
156,20190802,915,44600,44750,44600,44750,150678
157,20190802,920,44700,44750,44650,44750,119558
158,20190802,925,44750,44750,44700,44750,63732
159,20190802,930,44750,44900,44700,44900,153167
160,20190802,935,44900,44900,44750,44800,121950
161,20190802,940,44800,44900,44700,44850,180071
162,20190802,945,44900,44900,44800,44900,137037
163,20190802,950,44900,45000,44850,44950,133594
164,20190802,955,44950,44950,44850,44850,65857
165,20190802,1000,44850,44900,44750,44750,82543
166,20190802,1005,44800,44850,44700,44800,175853
167,20190802,1010,44850,44850,44700,44750,46419
168,20190802,1015,44750,44800,44700,44800,87155
169,20190802,1020,44800,44800,44600,44700,470303
170,20190802,1025,44750,45100,44700,45100,209797
171,20190802,1030,45150,45500,45050,45350,368402
172,20190802,1035,45350,45350,45150,45200,148660
173,20190802,1040,45150,45300,45050,45050,77848
174,20190802,1045,45050,45200,45000,45150,122984
175,20190802,1050,45200,45200,45100,45150,30833
176,20190802,1055,45100,45150,44950,45000,162165
177,20190802,1100,45000,45100,44950,45000,112557
178,20190802,1105,45000,45050,44900,45000,119907
179,20190802,1110,45000,45000,44850,44850,91729
180,20190802,1115,44850,44900,44750,44750,134587
181,20190802,1120,44750,44800,44750,44800,69534
182,20190802,1125,44800,44800,44700,44750,87421
183,20190802,1130,44750,44750,44700,44700,64816
184,20190802,1135,44750,44750,44700,44700,121015
185,20190802,1140,44700,44700,44650,44650,101789
186,20190802,1145,44700,44700,44600,44700,182299
187,20190802,1150,44650,44750,44650,44750,89784
