,date,times,end,vols,amounts
0,20160526,1210,25980,177800,4619130000
1,20160526,1215,26000,87200,2266190000
2,20160526,1220,25980,77250,2007480000
3,20160526,1225,26000,82600,2146930000
4,20160526,1230,26000,101750,2644040000
5,20160526,1235,25980,91100,2367280000
6,20160526,1240,26000,92700,2409130000
7,20160526,1245,25980,88750,2306500000
8,20160526,1250,25980,71000,1845240000
9,20160526,1255,25980,58700,1525600000
10,20160526,1300,26000,83400,2167380000
11,20160526,1305,25980,95550,2483020000
12,20160526,1310,25960,98450,2557510000
13,20160526,1315,25960,131250,3409010000
14,20160526,1320,25960,95750,2486880000
15,20160526,1325,25980,70550,1832420000
16,20160526,1330,25980,118700,3083320000
17,20160526,1335,25960,93350,2424780000
18,20160526,1340,25960,127700,3316570000
19,20160526,1345,25980,162850,4230240000
20,20160526,1350,25980,122100,3171580000
21,20160526,1355,25980,254850,6621630000
22,20160526,1400,26000,72600,1887140000
23,20160526,1405,26000,107450,2792420000
24,20160526,1410,25980,107100,2783400000
25,20160526,1415,26000,96850,2516900000
26,20160526,1420,26000,270950,7040100000
27,20160526,1425,25960,384250,9981710000
28,20160526,1430,25960,167650,4351430000
29,20160526,1435,25960,124650,3234550000
30,20160526,1440,25960,161550,4192230000
31,20160526,1445,25960,149100,3869390000
32,20160526,1450,25940,281400,7300570000
33,20160526,1500,25920,863750,22388400000
34,20160527,905,26000,994550,25858550000
35,20160527,910,26000,108150,2811510000
36,20160527,915,26020,174450,4536600000
37,20160527,920,26020,62450,1624460000
38,20160527,925,26020,130100,3383710000
39,20160527,930,26020,90350,2349790000
40,20160527,935,25980,257950,6704480000
41,20160527,940,25960,182900,4751470000
42,20160527,945,25960,127850,3320560000
43,20160527,950,25940,78050,2025260000
44,20160527,955,25940,41100,1066590000
45,20160527,1000,25960,92400,2397870000
46,20160527,1005,25940,50150,1301230000
47,20160527,1010,25920,176650,4580680000
48,20160527,1015,25940,378800,9820540000
49,20160527,1020,25920,61150,1586020000
50,20160527,1025,25920,151100,3917170000
51,20160527,1030,25780,784000,20291550000
52,20160527,1035,25740,99100,2554510000
53,20160527,1040,25620,250000,6420050000
54,20160527,1045,25700,146200,3755140000
55,20160527,1050,25700,111100,2855050000
56,20160527,1055,25660,265900,6820650000
57,20160527,1100,25660,172250,4420670000
58,20160527,1105,25580,192000,4923050000
59,20160527,1110,25600,180800,4629120000
60,20160527,1115,25620,128750,3298820000
61,20160527,1120,25600,131100,3357580000
62,20160527,1125,25560,192750,4931520000
63,20160527,1130,25580,178250,4554990000
64,20160527,1135,25560,88650,2266000000
65,20160527,1140,25540,70650,1805290000
66,20160527,1145,25520,116850,2984210000
67,20160527,1150,25500,113850,2905930000
68,20160527,1155,25500,96700,2467480000
69,20160527,1200,25480,108850,2775360000
70,20160527,1205,25460,128000,3261730000
71,20160527,1210,25520,189800,4836610000
72,20160527,1215,25540,156450,3993060000
73,20160527,1220,25540,111500,2848960000
74,20160527,1225,25540,75300,1923240000
75,20160527,1230,25520,62700,1600770000
76,20160527,1235,25580,266900,6823730000
77,20160527,1240,25580,117400,3004770000
78,20160527,1245,25620,153050,3917220000
79,20160527,1250,25620,87700,2246460000
80,20160527,1255,25600,170350,4368750000
81,20160527,1300,25620,40650,1041030000
82,20160527,1305,25660,76500,1960820000
83,20160527,1310,25680,41400,1062810000
84,20160527,1315,25660,43750,1123200000
85,20160527,1320,25680,53950,1384990000
86,20160527,1325,25680,187650,4823030000
87,20160527,1330,25740,78450,2016390000
88,20160527,1335,25740,82450,2122840000
89,20160527,1340,25720,108650,2794610000
90,20160527,1345,25720,88400,2273080000
91,20160527,1350,25720,233100,5997390000
92,20160527,1355,25720,163700,4211130000
93,20160527,1400,25700,112050,2883280000
94,20160527,1405,25760,165800,4265820000
95,20160527,1410,25740,249750,6435320000
96,20160527,1415,25780,145700,3754120000
97,20160527,1420,25760,209500,5399380000
98,20160527,1425,25760,158250,4078330000
99,20160527,1430,25720,119050,3064420000
100,20160527,1435,25740,216100,5559580000
101,20160527,1440,25740,230950,5942820000
102,20160527,1445,25800,319500,8232170000
103,20160527,1450,25740,348900,9003250000
104,20160527,1500,25640,1520900,38995870000
105,20160530,905,25740,374600,9696050000
106,20160530,910,25740,135300,3481640000
107,20160530,915,25700,73650,1895040000
108,20160530,920,25800,235350,6061320000
109,20160530,925,25780,117700,3037400000
110,20160530,930,25740,230700,5944900000
111,20160530,935,25740,257300,6624800000
112,20160530,940,25740,83200,2141470000
113,20160530,945,25780,140200,3611620000
114,20160530,950,25740,206850,5330140000
115,20160530,955,25780,211300,5444490000
116,20160530,1000,25760,114350,2947680000
117,20160530,1005,25740,83950,2162190000
118,20160530,1010,25700,113400,2919010000
119,20160530,1015,25740,212300,5456230000
120,20160530,1020,25700,92500,2378680000
121,20160530,1025,25700,136350,3505090000
122,20160530,1030,25700,65550,1685190000
123,20160530,1035,25680,102100,2624490000
124,20160530,1040,25700,175850,4517560000
125,20160530,1045,25760,101200,2604330000
126,20160530,1050,25760,103950,2678220000
127,20160530,1055,25700,83000,2135200000
128,20160530,1100,25700,45850,1178670000
129,20160530,1105,25700,126750,3258030000
130,20160530,1110,25700,57300,1473000000
131,20160530,1115,25700,62300,1601530000
132,20160530,1120,25700,97400,2503860000
133,20160530,1125,25680,188050,4833510000
134,20160530,1130,25700,114200,2934930000
135,20160530,1135,25680,76300,1961060000
136,20160530,1140,25680,74800,1920730000
137,20160530,1145,25660,101550,2606240000
138,20160530,1150,25680,58500,1501840000
139,20160530,1155,25660,154600,3969840000
140,20160530,1200,25660,274800,7049600000
141,20160530,1205,25680,135000,3465050000
142,20160530,1210,25700,70750,1816800000
143,20160530,1215,25680,57000,1463670000
144,20160530,1220,25660,60950,1564720000
145,20160530,1225,25640,133400,3423440000
146,20160530,1230,25640,73650,1889060000
147,20160530,1235,25640,120350,3087790000
148,20160530,1240,25640,64200,1647040000
149,20160530,1245,25660,116050,2976580000
150,20160530,1250,25660,71700,1839260000
151,20160530,1255,25640,104800,2688590000
152,20160530,1300,25600,647750,16608570000
153,20160530,1305,25600,58950,1509870000
154,20160530,1310,25580,99200,2539990000
155,20160530,1315,25640,195550,5004010000
156,20160530,1320,25600,93750,2402030000
157,20160530,1325,25580,115000,2942960000
158,20160530,1330,25500,220250,5623170000
159,20160530,1335,25540,217700,5554050000
160,20160530,1340,25520,81450,2079820000
161,20160530,1345,25520,78500,2003750000
162,20160530,1350,25520,108250,2763270000
163,20160530,1355,25500,112200,2863090000
164,20160530,1400,25560,266550,6799680000
165,20160530,1405,25540,82900,2118430000
166,20160530,1410,25580,95750,2447740000
167,20160530,1415,25560,69800,1784900000
168,20160530,1420,25640,245250,6279590000
169,20160530,1425,25620,147300,3775540000
170,20160530,1430,25660,245450,6294030000
171,20160530,1435,25660,139400,3576190000
172,20160530,1440,25640,252150,6469570000
173,20160530,1445,25660,164050,4208870000
174,20160530,1450,25640,228300,5860900000
175,20160530,1500,25600,377850,9672960000
176,20160531,905,25400,1950800,49926090000
177,20160531,910,25520,333700,8476540000
178,20160531,915,25600,182650,4666440000
179,20160531,920,25680,259800,6661300000
180,20160531,925,25600,209250,5360430000
181,20160531,930,25560,151900,3886190000
182,20160531,935,25540,66900,1709430000
183,20160531,940,25580,428900,10949250000
184,20160531,945,25580,231700,5929770000
185,20160531,950,25560,50950,1303300000
186,20160531,955,25600,112800,2885150000
187,20160531,1000,25600,45500,1164730000
188,20160531,1005,25600,312300,7996360000
189,20160531,1010,25600,145500,3722580000
190,20160531,1015,25540,173950,4447120000
191,20160531,1020,25520,84050,2146620000
192,20160531,1025,25560,58500,1494870000
193,20160531,1030,25560,52950,1353230000
194,20160531,1035,25540,73550,1879490000
195,20160531,1040,25600,211550,5409510000
196,20160531,1045,25600,58300,1492400000
197,20160531,1050,25640,360500,9232050000
198,20160531,1055,25660,154000,3949250000
199,20160531,1100,25660,137600,3530360000
200,20160531,1105,25660,106650,2736280000
201,20160531,1110,25700,262100,6726510000
202,20160531,1115,25660,187600,4817820000
203,20160531,1120,25660,48750,1250700000
204,20160531,1125,25600,348250,8922720000
205,20160531,1130,25620,284500,7284810000
206,20160531,1135,25600,259450,6641860000
207,20160531,1140,25620,183300,4693010000
208,20160531,1145,25640,99000,2537660000
209,20160531,1150,25640,95050,2436890000
210,20160531,1155,25620,92450,2369770000
211,20160531,1200,25620,89350,2290110000
212,20160531,1205,25640,79950,2049740000
213,20160531,1210,25640,105950,2716070000
214,20160531,1215,25640,118350,3034010000
215,20160531,1220,25640,102900,2638000000
216,20160531,1225,25640,130050,3333260000
217,20160531,1230,25620,194400,4980450000
218,20160531,1235,25600,81500,2087460000
219,20160531,1240,25640,156800,4017630000
220,20160531,1245,25660,196850,5047110000
221,20160531,1250,25640,114600,2940520000
222,20160531,1255,25660,161050,4133490000
223,20160531,1300,25680,283350,7272050000
224,20160531,1305,25680,75900,1948900000
225,20160531,1310,25640,300750,7719010000
226,20160531,1315,25640,66500,1706220000
227,20160531,1320,25660,84650,2171990000
228,20160531,1325,25660,164300,4214370000
229,20160531,1330,25640,134150,3441330000
230,20160531,1335,25660,116200,2981120000
231,20160531,1340,25660,167600,4299720000
232,20160531,1345,25660,126600,3248150000
233,20160531,1350,25700,306150,7858340000
234,20160531,1355,25760,398150,10239390000
235,20160531,1400,25720,375300,9665860000
236,20160531,1405,25740,239050,6147920000
237,20160531,1410,25780,522450,13454370000
238,20160531,1415,25820,340250,8778760000
239,20160531,1420,25800,395950,10219200000
240,20160531,1425,25800,274300,7073490000
241,20160531,1430,25840,517700,13359120000
242,20160531,1435,25860,754700,19512470000
243,20160531,1440,25860,497100,12849830000
244,20160531,1445,25840,990950,25591430000
245,20160531,1450,25980,1498800,38886020000
246,20160531,1500,25840,41949400,1083972490000
247,20160601,905,26040,1414050,36793530000
248,20160601,910,25960,323200,8400100000
249,20160601,915,25960,236800,6150220000
250,20160601,920,25980,123750,3213180000
251,20160601,925,26020,210050,5461800000
252,20160601,930,25960,137250,3565720000
253,20160601,935,26020,146450,3807370000
254,20160601,940,26020,124400,3234290000
255,20160601,945,26060,183200,4769710000
256,20160601,950,26140,495100,12919100000
257,20160601,955,26160,820300,21484180000
258,20160601,1000,26180,155700,4076160000
259,20160601,1005,26220,343100,8988570000
260,20160601,1010,26220,279600,7332220000
261,20160601,1015,26340,765000,20120210000
262,20160601,1020,26360,187200,4931360000
263,20160601,1025,26400,645050,17020150000
264,20160601,1030,26420,447800,11827070000
265,20160601,1035,26400,270250,7134590000
266,20160601,1040,26460,402300,10630610000
267,20160601,1045,26420,236700,6255460000
268,20160601,1050,26460,278600,7367040000
269,20160601,1055,26500,366600,9705870000
270,20160601,1100,26520,244550,6480260000
271,20160601,1105,26560,384600,10205610000
272,20160601,1110,26620,573750,15260770000
273,20160601,1115,26660,576650,15368740000
274,20160601,1120,26600,421850,11236370000
275,20160601,1125,26580,235750,6272450000
276,20160601,1130,26620,244000,6493640000
277,20160601,1135,26620,186050,4952840000
278,20160601,1140,26600,202150,5379530000
279,20160601,1145,26640,185700,4941930000
280,20160601,1150,26620,210250,5597380000
281,20160601,1155,26640,196650,5237830000
282,20160601,1200,26680,298500,7956810000
283,20160601,1205,26680,254400,6787350000
284,20160601,1210,26680,223600,5966430000
285,20160601,1215,26680,156200,4168980000
286,20160601,1220,26700,138150,3688260000
287,20160601,1225,26720,390600,10432000000
288,20160601,1230,26740,137250,3667900000
289,20160601,1235,26760,221000,5911440000
290,20160601,1240,26800,260750,6981000000
291,20160601,1245,26780,186050,4981610000
292,20160601,1250,26800,150400,4028620000
293,20160601,1255,26800,349450,9362420000
294,20160601,1300,26820,314350,8423730000
295,20160601,1305,26720,375700,10059620000
296,20160601,1310,26720,138150,3692400000
297,20160601,1315,26740,155600,4159590000
298,20160601,1320,26720,261800,6999600000
299,20160601,1325,26700,342150,9135890000
300,20160601,1330,26760,254550,6802180000
301,20160601,1335,26720,282400,7549870000
302,20160601,1340,26740,239450,6402120000
303,20160601,1345,26720,284450,7602660000
304,20160601,1350,26720,192700,5148450000
305,20160601,1355,26720,237050,6333950000
306,20160601,1400,26720,326500,8718870000
307,20160601,1405,26720,280200,7491740000
308,20160601,1410,26740,320450,8573230000
309,20160601,1415,26780,258200,6912460000
310,20160601,1420,26780,246600,6603030000
311,20160601,1425,26780,319150,8546340000
312,20160601,1430,26780,224650,6013440000
313,20160601,1435,26780,265300,7100430000
314,20160601,1440,26780,242650,6496800000
315,20160601,1445,26760,452050,12107180000
316,20160601,1450,26740,314350,8409510000
317,20160601,1500,26660,1923450,51279170000
318,20160602,905,27140,2872850,77640500000
319,20160602,910,27200,928200,25230340000
320,20160602,915,27220,708000,19295920000
321,20160602,920,27160,482300,13121750000
322,20160602,925,27200,241550,6567110000
323,20160602,930,27200,442800,12034560000
324,20160602,935,27140,317550,8621800000
325,20160602,940,27160,274500,7455090000
326,20160602,945,27160,175550,4767400000
327,20160602,950,27180,210350,5713300000
328,20160602,955,27180,213600,5805520000
329,20160602,1000,27140,318650,8654850000
330,20160602,1005,27140,218350,5923510000
331,20160602,1010,27060,360150,9761450000
332,20160602,1015,27040,315600,8529560000
333,20160602,1020,26960,265250,7159490000
334,20160602,1025,26980,249700,6731440000
335,20160602,1030,26980,460150,12418010000
336,20160602,1035,27000,118200,3189590000
337,20160602,1040,26960,238450,6433860000
338,20160602,1045,26980,221600,5976650000
339,20160602,1050,26980,194400,5244810000
340,20160602,1055,27000,196250,5295180000
341,20160602,1100,27000,184050,4968840000
342,20160602,1105,27040,360750,9746710000
343,20160602,1110,27040,169650,4586500000
344,20160602,1115,27100,373950,10121940000
345,20160602,1120,27100,160350,4344020000
346,20160602,1125,27100,202500,5486430000
347,20160602,1130,27100,173050,4689010000
348,20160602,1135,27100,215150,5830400000
349,20160602,1140,27100,236100,6396620000
350,20160602,1145,27100,214100,5800280000
351,20160602,1150,27100,101250,2743170000
352,20160602,1155,27100,178600,4839510000
353,20160602,1200,27060,318300,8620090000
354,20160602,1205,27080,270400,7314740000
355,20160602,1210,27100,118500,3210230000
356,20160602,1215,27120,162700,4408770000
357,20160602,1220,27140,158500,4298980000
358,20160602,1225,27160,166150,4509040000
359,20160602,1230,27160,268100,7281730000
360,20160602,1235,27180,252600,6865170000
361,20160602,1240,27180,219650,5971090000
362,20160602,1245,27220,528250,14369180000
363,20160602,1250,27220,192000,5226310000
364,20160602,1255,27240,122600,3337400000
365,20160602,1300,27240,217650,5928690000
366,20160602,1305,27240,207150,5642450000
367,20160602,1310,27220,156900,4270420000
368,20160602,1315,27240,153100,4168950000
369,20160602,1320,27260,290050,7903320000
370,20160602,1325,27280,335500,9147440000
